# GeoNames cities15000 (https://www.geonames.org), CC BY 4.0. Generated by Tools/make_places.py
Kunshan		31.3776	120.9543	Jiangsu	China	2092496	崑山,崑山市,昆山,昆山市	Asia/Shanghai
Al Mawşil al Jadīdah	Al Mawsil al Jadidah	36.3327	43.1056	Nineveh	Iraq	2065597		Asia/Baghdad
Zunyi		27.6867	106.9072	Guizhou	China	2037775	遵义,遵义市,遵義,遵義市	Asia/Shanghai
La Paz		-16.5000	-68.1500	La Paz Department	Bolivia	2004652	ラパス,拉巴斯,라파스	America/La_Paz
Lianyungang		34.5984	119.2156	Jiangsu	China	2001009	连云港,连云港市,連雲港,롄윈강 시	Asia/Shanghai
Medellín	Medellin	6.2450	-75.5715	Antioquia	Colombia	1999979	メデジン,麦德林,메데인	America/Bogota
Puning		23.3107	116.1687	Guangdong	China	1998619	普宁,普宁市,普寧,普寧市	Asia/Shanghai
Indore		22.7179	75.8333	Madhya Pradesh	India	1994397	インドール,印多尔,인도르	Asia/Kolkata
Brazzaville		-4.2661	15.2832	Brazzaville	Republic of the Congo	1982000	ブラザヴィル,布拉柴维尔,브라자빌	Africa/Brazzaville
Tashkent		41.2647	69.2163	Tashkent	Uzbekistan	1978028	タシュケント,塔什干,타슈켄트	Asia/Tashkent
Ganzhou		25.8466	114.9326	Jiangxi	China	1977253	カン州,カン州市,贛州,赣州	Asia/Shanghai
Almaty		43.2525	76.9115	Almaty	Kazakhstan	1977011	アルマトイ,阿拉木圖,알마티	Asia/Almaty
Khartoum		15.5518	32.5324	Khartoum	Sudan	1974647	ハルツーム,喀土穆,하르툼	Africa/Khartoum
Hamburg		53.5507	9.9930	Hamburg	Germany	1973896	ハンブルク,汉堡,汉堡市,漢堡	Europe/Berlin
Sapporo		43.0667	141.3500	Hokkaido	Japan	1973832	さっぽろ,さっぽろし,サッポロ,サッポロシ	Asia/Tokyo
Songjiang		31.0344	121.2233	Shanghai	China	1973500	松江,松江区	Asia/Shanghai
Accra		5.5560	-0.1969	Greater Accra	Ghana	1963264	アクラ,阿克拉,아크라	Africa/Accra
Curitiba		-25.4278	-49.2731	Paraná	Brazil	1948626	クリチバ,古里提巴,庫里奇巴,쿠리치바	America/Sao_Paulo
Sanaa		15.3545	44.2065	Amanat Alasimah	Yemen	1937451	サヌア,萨那,사나	Asia/Aden
Conakry		9.5380	-13.6773	Conakry	Guinea	1928389	コナクリ,科納克里,코나크리	Africa/Conakry
Tangerang		-6.1781	106.6300	Banten	Indonesia	1927815	タンゲラン,坦格朗,當格朗,탕에랑	Asia/Jakarta
Tijuana		32.5027	-117.0037	Baja California	Mexico	1922523	ティフアナ,蒂華納,티후아나	America/Tijuana
Hyderabad		25.3969	68.3772	Sindh	Pakistan	1921275	ハイデラバード,海得拉巴,하이데라바드	Asia/Karachi
Beirut		33.8933	35.5016	Beirut	Lebanon	1916100	ベイルート,貝魯特,贝鲁特,베이루트	Asia/Beirut
Jieyang		23.5418	116.3658	Guangdong	China	1899394	掲陽市,揭阳,揭阳市,揭陽	Asia/Shanghai
